,SEM_TT,fami_estratovivienda,estu_genero,punt_c_naturales,punt_lectura_critica,punt_matematicas,punt_sociales_ciudadanas,punt_ingles,estu_cod_reside_mcpio,cole_cod_mcpio_ubicacion,estu_cod_mcpio_presentacion,PUNT_TOTAL
39,20152,Estrato 2,M,52.09399671926077,50.64448824008402,52.81614878978486,50.50634315588232,50.619528659263366,30917.444127122744,30878.55131760624,,256.68050556427534
40,20152,Estrato 3,,51.62199312714777,51.44329896907217,51.74570446735395,51.15807560137457,52.446735395189,29647.05498281787,29895.274914089347,29431.71821305842,258.41580756013747
41,20152,Estrato 3,F,53.42790089588066,54.02224698872648,53.64533413348193,53.34109906125423,55.61301384542843,25946.49234857902,26010.729564061898,,270.0495949247717
42,20152,Estrato 3,M,55.53295304544597,53.9323260418631,57.00902790873091,53.449321138977936,56.03366019234396,25810.13101074863,25918.696775410146,,275.9572883273619
43,20152,Estrato 4,,55.646341463414636,53.6219512195122,55.573170731707314,53.353658536585364,58.47560975609756,29067.0,29449.48780487805,29057.963414634145,276.6707317073171
44,20152,Estrato 4,F,58.72282791952343,58.58626503315725,60.35686186354951,57.13038102731258,66.46757333932786,26984.264808362368,27200.937394627403,26933.161852309768,301.26390918287063
45,20152,Estrato 4,M,60.8511245575979,58.27468889142596,64.02066445941317,57.13882863340564,66.07158351409979,26826.154583856605,27168.259276173078,26836.898390227194,306.3568900559425
46,20152,Estrato 5,,58.0,57.77777777777778,55.611111111111114,55.72222222222222,66.38888888888889,23411.38888888889,23471.5,23411.38888888889,293.5
47,20152,Estrato 5,F,60.59218091222691,59.8853967037179,63.20352625527022,58.36910693752395,71.70831736297431,24538.14105021081,24708.099655040245,3.4451765712194634e+304,313.7585281717133
48,20152,Estrato 5,M,62.286230429546364,59.346045764753114,66.30590124448013,58.33761541549578,70.47450822962665,23204.870333199517,23394.916499397834,23216.968687274188,316.75030108390206
49,20152,Estrato 6,,55.857142857142854,52.857142857142854,61.57142857142857,52.0,63.142857142857146,13143.857142857143,13225.57142857143,13181.714285714286,285.42857142857144
50,20152,Estrato 6,F,61.982180293501045,61.21383647798742,65.87316561844864,59.040880503144656,76.041928721174,23384.009433962263,23712.214884696015,23457.573375262054,324.1519916142558
51,20152,Estrato 6,M,64.06237218813907,60.43251533742331,68.74642126789367,59.39161554192229,74.67484662576688,24330.824130879344,24544.468302658486,24387.03374233129,327.3077709611452
52,20161,Estrato 1,F,57.03809523809524,56.34285714285714,57.60952380952381,56.42857142857143,55.838095238095235,58706.94285714286,58969.4,58200.438095238096,283.25714285714287
53,20161,Estrato 1,M,60.472727272727276,57.35454545454545,63.96363636363636,59.236363636363635,60.35454545454545,56654.27272727273,56650.681818181816,56653.90909090909,301.3818181818182
54,20161,Estrato 2,F,57.62908011869436,55.853115727002965,56.36943620178042,55.87240356083086,57.50148367952522,67371.35756676558,67334.07566765578,67237.98367952522,283.22551928783383
55,20161,Estrato 2,M,59.02622950819672,55.42131147540984,60.4655737704918,57.29672131147541,58.59508196721311,65227.22295081967,65349.29344262295,65079.375409836066,290.8049180327869
56,20161,Estrato 3,F,59.506776664702414,57.81437831467295,58.823806717737185,58.32704773129051,61.42133176193282,65044.62581025339,65563.78903948143,65038.025338833235,295.8933411903359
57,20161,Estrato 3,M,61.20403176542456,56.9083689676237,63.39767868051313,59.684789248625535,61.56627978008552,65058.00794135614,65354.38057422113,64993.01649358583,302.76114844227243
58,20161,Estrato 4,F,65.25016812373907,61.56086079354405,67.12239408204438,64.42703429724277,73.62542030934767,45368.689979825154,46144.4014794889,45165.12441156691,331.98587760591795
59,20161,Estrato 4,M,66.67619728377413,60.59614010007148,70.5625446747677,65.0035739814153,72.47319513938527,47162.776983559685,47676.83488205861,46909.07147962831,335.31165117941384
60,20161,Estrato 5,F,67.6453744493392,63.273861967694565,70.8223201174743,66.13803230543319,79.62334801762114,40577.92290748899,41421.259911894274,40608.49706314244,347.5029368575624
61,20161,Estrato 5,M,69.63855421686748,62.7429718875502,75.00080321285141,68.45220883534137,78.53413654618474,42923.30923694779,43860.882730923695,42901.53734939759,354.3686746987952
62,20161,Estrato 6,F,69.30742049469964,64.7279151943463,74.13074204946996,67.97031802120141,86.68975265017667,27543.315901060072,28076.190106007067,27402.60070671378,362.826148409894
63,20161,Estrato 6,M,71.58125472411187,64.3265306122449,78.35903250188964,70.4225245653817,86.06727135298564,27697.202569916855,28494.032501889644,27578.32501889645,370.7566137566138
64,20162,,F,48.26589147286822,49.2046511627907,44.43255813953488,46.629457364341086,47.582945736434105,25707.38062015504,25734.331007751938,25713.4503875969,236.11550387596898
65,20162,,M,50.22051282051282,50.146153846153844,48.81111111111111,48.302564102564105,49.544444444444444,29385.33504273504,29541.40683760684,29426.681196581198,247.02478632478633
66,20162,Estrato 1,F,49.11408175682368,49.59534051193525,45.74995401355539,46.70143477707187,47.38226055212033,37207.99614421349,37212.5908975139,37138.26111810734,238.54307161150652
67,20162,Estrato 1,M,50.31783863390627,49.59148614891316,48.84818798702509,47.44619887401663,48.07845531486522,37381.89046828977,37354.449629022034,37313.86828418031,244.28216695872638
68,20162,Estrato 2,F,52.90289599746625,53.50147472188131,50.50234569856289,51.06546181559048,52.26379706243319,31014.765578605646,31039.743398392653,30997.818322182193,260.2359752959341
